tier	match	us	file	line	zone	context
V	$3.80M	$xM / $xB	.planning/retirement-optimizer/progress.md	3105	doc	nearly double in total ($2.04M -> $3.80M) and the split falls ($5.47M -> $4.85M).
V	$5.47M	$xM / $xB	.planning/retirement-optimizer/progress.md	3105	doc	rly double in total ($2.04M -> $3.80M) and the split falls ($5.47M -> $4.85M).
V	$4.85M	$xM / $xB	.planning/retirement-optimizer/progress.md	3105	doc	in total ($2.04M -> $3.80M) and the split falls ($5.47M -> $4.85M).
V	$7.4M	$xM / $xB	.planning/retirement-optimizer/progress.md	3285	doc	The actual drift was **$1 against $7.4M** - the base over-funds by $2 and the tolerance w
V	$3.7M	$xM / $xB	.planning/retirement-optimizer/progress.md	3593	doc	or less, over years that differ by 4.5x in conversions and $3.7M in ending
V	$1M	$xM / $xB	.planning/retirement-optimizer/progress.md	3993	doc	room)`) and score near-zero spread only because a $1M goal never binds under a $6M balance, and
V	$6M	$xM / $xB	.planning/retirement-optimizer/progress.md	3993	doc	ear-zero spread only because a $1M goal never binds under a $6M balance, and
V	$1M	$xM / $xB	.planning/retirement-optimizer/progress.md	5037	doc	brokerage gains 7% above ~$278k and 9.9% above $1M with retirement accounts and real estate
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress.md	749	doc	headings, and from `inflationFactor` rightward every value sat under the heading to its
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress.md	820	doc	d test tier registers. On that one URL the self-check badge sat on its neutral hourglass
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress.md	1654	doc	lifetime flow sat beside a deflated one. Exactly two columns are ge
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress.md	1999	doc	and sat there looking current. Now re-checked at completi
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress.md	2071	doc	anchor sat above the `## 11.16a9` heading, and `## 11.1691`
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress.md	2466	doc	**One item was rescued rather than parked.** `P91d` sat inside a DONE phase: the Monte Carlo controls
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress.md	3504	doc	sat inside a phase whose status reads DONE. It stays
V	stood	"was stood" (UK) -> standing (vet)	.planning/retirement-optimizer/progress.md	552	doc	tests drive `mc_engine.js` directly, and the hand copy that stood in for it is gone.
S	normalises	normalizes	.planning/retirement-optimizer/progress.md	191	doc	`.githooks/README.md`. Git normalises so the blob survives, but `.gitattributes` pins
S	recognise	recognize	.planning/retirement-optimizer/progress.md	1389	doc	clamped BEFORE the variation loop (the loop has to recognise its own variation while it still holds
S	minimising	minimizing	.planning/retirement-optimizer/progress.md	4250	doc	- every richer cell pays more tax, monotonically. **A user minimising lifetime tax picks the
S	unsanitised	unsanitized	.planning/retirement-optimizer/progress.md	4452	doc	Also fixed: unsanitised export filename (the blank-name fallback is a tim
S	optimised	optimized	.planning/retirement-optimizer/progress.md	4507	doc	ly one place, so I wrote a comment asserting that ⇌ / spend-optimised /
S	materialised	materialized	.planning/retirement-optimizer/progress.md	4848	doc	becomes. Five named plans exist for its rungs, but each was materialised at ONE spend rate
S	colours	color	.planning/retirement-optimizer/progress_archived.md	1230	doc	- Wording and colours moved fully into `setOptimizerBusy()`; the HTML d
S	behaviour	behavior	.planning/retirement-optimizer/progress_archived.md	2166	doc	behaviour (`age >= 0` always true), so existing plans are u
S	behaviour	behavior	.planning/retirement-optimizer/progress_archived.md	3215	doc	those are not behaviour-neutral, so they ship separately.
S	behaviour	behavior	.planning/retirement-optimizer/progress_archived.md	3252	doc	behaviour in a comment two lines above the call that defeat
S	behaviour	behavior	.planning/retirement-optimizer/progress_archived.md	3253	doc	the cap and its phase-down. Not behaviour-neutral, and it reaches IncomeTaxPlanner, which h
S	behaviour	behavior	.planning/retirement-optimizer/progress_archived.md	3305	doc	Same defect family, different tool, not behaviour-neutral, so it gets its own commit.
S	honoured	honor	.planning/retirement-optimizer/progress_archived.md	1340	doc	of selling - so it clamps to 0. Raw `appreciationPct` still honoured, so legacy `?ap=` links work.
S	honoured	honor	.planning/retirement-optimizer/progress_archived.md	1380	doc	n bug at `:181` is STILL REAL: `INFLATION_INDEXED:false` is honoured only for brackets (`taxengine.js:1089`), while th
S	honour	honor	.planning/retirement-optimizer/progress_archived.md	3179	doc	Asked which shape P63a should take, honour the flag or delete it. The reading behind the que
S	Honouring	honor	.planning/retirement-optimizer/progress_archived.md	3183	doc	short-circuits every consumer. Honouring it is not localized, because `stateTimelyByWithho
S	analyses	analyze (check: "analyses" as a plural noun is fine)	.planning/retirement-optimizer/progress_archived.md	224	doc	branch worktrees/retirement-optimizer-review-c4e406). Three analyses: architecture (findings recorded in task_plan.md
S	Catalogue	catalog	.planning/retirement-optimizer/progress_archived.md	2465	doc	(added out-of-band) and P51 at O1. Catalogue of the unlogged work, newest first:
S	cataloguing	catalog	.planning/retirement-optimizer/progress_archived.md	2486	doc	cataloguing #159-#173 and the new test counts; prior 08-07 sn
S	modelled	modeled / modeling	.planning/retirement-optimizer/progress_archived.md	1444	doc	nfinity}]` table matches that on EVERY lookup, and 21 of 38 modelled jurisdictions have one. Full mechanism and measur
S	modelled	modeled / modeling	.planning/retirement-optimizer/progress_archived.md	3327	doc	exclusion, already modelled in `computeAnnualQCDs`), but **a gift of apprecia
S	labelled	labeled / labeling	.planning/retirement-optimizer/progress_archived.md	444	doc	1. Death labelled **"Your Passing"/"Spouse Passing"** (deceased's `
S	labelled	labeled / labeling	.planning/retirement-optimizer/progress_archived.md	1213	doc	ified: nerdknob + no full run -> stress chart draws with 25 labelled years; Synthetic mode -> stress pass runs (10 pat
S	labelling	labeled / labeling	.planning/retirement-optimizer/progress_archived.md	1241	doc	nstants, since the same literal is now both PREPENDED (when labelling rows) and STRIPPED (in the pinned row) and those
S	labelled	labeled / labeling	.planning/retirement-optimizer/progress_archived.md	2946	doc	dicting the results. It now shows inputs and the two rates, labelled "From your
S	equalled	equaled	.planning/retirement-optimizer/progress_archived.md	1114	doc	"Stop after 2040 ▸" and the loaded plan's after-tax wealth equalled the searched score **to the dollar** ($17,342,828
S	grey	gray	.planning/retirement-optimizer/progress_archived.md	1318	doc	T WARNING with 2 red badges (federal, genuinely late) and 2 grey DATE PASSED badges (California, covered); Plans A
V	backwards	backward	.planning/retirement-optimizer/progress_archived.md	2204	doc	plan length entirely - backwards to the whole withdrawal-rate literature (Bengen/T
V	backwards	backward	.planning/retirement-optimizer/progress_archived.md	3264	doc	easurement guess that TX and FL would be the sweet spot was backwards: with no state income tax,
I	tick	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress_archived.md	2729	doc	window and loading a scenario in the same tick left the tile on the older plan's 36/36, because
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress_archived.md	3004	doc	checkbox is ticked and survive a share link.
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/progress_archived.md	3080	doc	It used to fall back to 100% unless the high-income box was ticked. It now
I	one-off	one-time	.planning/retirement-optimizer/progress_archived.md	1459	doc	- ANSWERED THE GOLDEN QUESTION WITH A RULE, not a one-off placement: **would the node suite fail without th
I	Knock-on	ripple / downstream (effect)	.planning/retirement-optimizer/progress_archived.md	2060	doc	**Knock-on the user did not have to ask for:** demoting P28
V	tidy	clean up - UK-leaning	.planning/retirement-optimizer/progress_archived.md	1314	doc	are deliberately separate until TPP-1 unifies them. Do not "tidy" that into one variable without doing the TPP-1 w
V	tidying	clean up - UK-leaning	.planning/retirement-optimizer/progress_archived.md	1463	doc	ute. Pointing them at the Medicare constant would look like tidying and would silently couple unrelated law. Left alo
I	would do	elliptical "do" (UK) - drop "do"	.planning/retirement-optimizer/progress_archived.md	1212	doc	cation, which is exactly what a user switching browser tabs would do. Now races a double rAF against `setTimeout(start
V	00 January	Month D, YYYY	.planning/retirement-optimizer/progress_archived.md	2850	doc	$40,000 January conversion drives every total negative, and the w
V	$1.3M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	94	doc	candidate pool is properly diversified (10 of 12 hold $700k-$1.3M terminal IRA, so PF11 holds), the sweep honestly
V	$1.29M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	94	doc	/heirs rate (24% → $0, 40% → +$42,355, 65% → +$200,516 on a $1.29M-IRA candidate). Also confirmed the apparent "conv
V	$2M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	614	doc	starting 2039 growing to ~$75k/yr by 2043 despite a $2M+ IRA. Root cause: `bracket`/`fixedpct`
V	$1.26M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	780	doc	"IRA Draw (no conv)" $1.26M, conversion strategies show signed deltas vs it.
V	$2M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	995	doc	onversion per strategy (67ms; $150k/yr adds $773k wealth on $2M IRA scenario).
V	$2M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1068	doc	+1 confirmed exactly (17/81/201 sims per candidate at $400k/$2M/$5M). $2M @ 12 candidates ~835ms/~1184 runs, unde
V	$5M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1068	doc	onfirmed exactly (17/81/201 sims per candidate at $400k/$2M/$5M). $2M @ 12 candidates ~835ms/~1184 runs, under th
V	$2M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1068	doc	ed exactly (17/81/201 sims per candidate at $400k/$2M/$5M). $2M @ 12 candidates ~835ms/~1184 runs, under the 2.5s
V	$5M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1068	doc	e 2.5s/1500-run triggers -> shipped without coarse-to-fine. $5M+ crosses the run budget (~2624) -> recorded as th
V	$2M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1072	doc	- Browser (v11.12e5, python http.server :8767): $2M/$90k -> 12 candidates, 3 ⇌ rows from 3 families i
V	$3M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1114	doc	another python server): built an interior-optimum scenario ($3M IRA, 8% growth, 12% heirs rate, $120k extra conv)
V	$1.2M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1480	doc	and down is CORRECT: the old behavior looked $1.2M richer because it refused to fund the spend
V	$1.2M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1636	doc	ecause the engine under-withdrew - `BASE` has $850k against $1.2M of
V	$1.45M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1637	doc	nd now depletes fully, so the mean is ~22.9%. `CREEP_BASE` ($1.45M against $1.8M) now
V	$1.8M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	1637	doc	fully, so the mean is ~22.9%. `CREEP_BASE` ($1.45M against $1.8M) now
V	$2.1M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	2338	doc	ause the skip was protective for aggressive ceilings (FB35 -$2.1M)
V	$1.08M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	2346	doc	(defaults3x@4%: +$1.08M vs +$36k), propwd gap-to-oracle 2.3-11.6% -> **de
V	$14.58M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	2364	doc	ranges (assets $810k-$14.58M, IRA 22-86%, Brok 6-62%, spend $32.4k-$1.17M) and
V	$1.17M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	2364	doc	(assets $810k-$14.58M, IRA 22-86%, Brok 6-62%, spend $32.4k-$1.17M) and the held-fixed
V	$1.3M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	2387	doc	mapped: below ~$1.3M totals CRB/CBR tie (0% LTCG bracket), proportiona
V	$32M	$xM / $xB	.planning/retirement-optimizer/progress_archived.md	3259	doc	after-tax net worth on $32M - **0.06%**. It saturates at the cap, it is exact
V	sat	"was sat" (UK) -> sitting / sits (vet)	.planning/retirement-optimizer/progress_archived.md	2031	doc	ong.** After this morning's restructure the Open Task Index sat at **lines 77-133** -
S	minimise	minimize	.planning/retirement-optimizer/progress_archived.md	1313	doc	tallment underneath said "PAST DUE - pay immediately ... to minimise underpayment penalty". **The installments were ri
S	normalise	normalize	.planning/retirement-optimizer/progress_archived.md	1433	doc	- The node test does normalise key ORDER inside an overrides object before compa
S	unnormalised	unnormalized	.planning/retirement-optimizer/progress_archived.md	1433	doc	r. The live-page diff above is the strict one and it passed unnormalised, so nothing is being hidden by that.
S	renormalise	renormalize	.planning/retirement-optimizer/progress_archived.md	1724	doc	**not** `* text=auto`, which would renormalise every tracked file in one unmeasured sweep.
S	colours	color	.planning/retirement-optimizer/task_parked.md	751	doc	`Chart.defaults` rules apply: no per-chart tooltip colours, no per-chart `labelColor`.
S	behaviour	behavior	.planning/retirement-optimizer/task_parked.md	1054	doc	**behaviour-neutral by construction only if a characterizatio
S	behaviour	behavior	.planning/retirement-optimizer/task_parked.md	1088	doc	for "pro-rata". Nothing pins current behaviour, in either direction.
S	honour	honor	.planning/retirement-optimizer/task_parked.md	1067	doc	differing. Either honour it or delete it; a flag that does nothing is wors
S	honouring	honor	.planning/retirement-optimizer/task_parked.md	1069	doc	switches text between "[DATE PASSED]" and "[PAST DUE]", so honouring it changes the action plan,
S	Honouring	honor	.planning/retirement-optimizer/task_parked.md	1081	doc	- **Honouring it is not localized.** `stateTimelyByWithholding`
S	honouring	honor	.planning/retirement-optimizer/task_parked.md	1091	doc	meaningful value is probably wrong. Confirm before honouring rather than deleting.
S	modelled	modeled / modeling	.planning/retirement-optimizer/task_parked.md	1138	doc	income exclusion, already modelled correctly in `computeAnnualQCDs`. **A gift of app
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_parked.md	574	doc	08-01).** The divisor. `RMD_TABLE` (`taxengine.js:976-983`, labelled "Uniform Lifetime
S	labelling	labeled / labeling	.planning/retirement-optimizer/task_parked.md	698	doc	elds that already exist. The risk is not correctness, it is labelling and surface.
S	Labelling	labeled / labeling	.planning/retirement-optimizer/task_parked.md	711	doc	**Labelling decision, to be made before anything ships.** "Gr
V	$1.68M	$xM / $xB	.planning/retirement-optimizer/task_parked.md	108	doc	$427,589 at requests of $0 / $420k / $1.68M). An arm that converts nothing carries a bigger I
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_parked.md	226	doc	| Linear depletion | growth=0, inflation=0, Roth-only $1M, spend $50k | Depletes year 20; netSpend%=5% each
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_parked.md	229	doc	| RMD accuracy | IRA=$1M at age 73, zero growth | First RMD = $1M ÷ 26.5 ±
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_parked.md	229	doc	RMD accuracy | IRA=$1M at age 73, zero growth | First RMD = $1M ÷ 26.5 ± $1 |
V	$2M	$xM / $xB	.planning/retirement-optimizer/task_parked.md	944	doc	- [ ] **P45f** — Test: large IRA ($2M) → rmd-growth insight appears; plan that depletes
V	$1.08M	$xM / $xB	.planning/retirement-optimizer/task_parked.md	1020	doc	conversion timing >> withdrawal split (defaults3x @4%: +$1.08M conv vs +$36k split); flat
S	Deprioritised	Deprioritized	.planning/retirement-optimizer/task_parked.md	1141	doc	- [ ] **P65c** - **Mortgage interest. Deprioritised by the user**: significant mortgage deductions ar
S	neighbouring	neighbor	.planning/retirement-optimizer/task_plan.md	961	doc	olumns fill only where expected; hide/show behaves like the neighbouring series.
S	licence	license	.planning/retirement-optimizer/task_plan.md	3559	doc	Optimizer ranking's job to surface, not a licence for the engine to under-deliver the strategy
S	catalogues	catalog	.planning/retirement-optimizer/task_plan.md	4352	doc	own claim. Same species as the scorer defects `findings.md` catalogues.
S	modelled	modeled / modeling	.planning/retirement-optimizer/task_plan.md	1805	doc	accounted correctly; when it is paid is not modelled at all.
S	modelling	modeled / modeling	.planning/retirement-optimizer/task_plan.md	1807	doc	**The mechanism is legitimate, not a modelling cheat: withholding is deemed paid RATABLY across
S	MODELLED	modeled / modeling	.planning/retirement-optimizer/task_plan.md	2363	doc	**IT CAN BE MODELLED WITH ZERO ENGINE CHANGE.** Two per-year research
S	modelled	modeled / modeling	.planning/retirement-optimizer/task_plan.md	4760	doc	community-property handling is explicitly not modelled (`STATEname` is knowable at `:2307` but no
S	modelled	modeled / modeling	.planning/retirement-optimizer/task_plan.md	4872	doc	a jurisdiction. Every one of the 38 modelled jurisdictions carries its own numeric
S	modelled	modeled / modeling	.planning/retirement-optimizer/task_plan.md	5017	doc	within 10 years, modelled against heir withdrawal rates. Today none of that
S	modelling	modeled / modeling	.planning/retirement-optimizer/task_plan.md	5025	doc	blast radius of anything in the backlog. It is also better modelling: the
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	775	doc	labelled `no-cut`. **Moves Optimize Spend**: the suite's G
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	778	doc	27e` the inflation raise capped at 6% (`GK_CPI_RAISE_CAP`), labelled `CPI≤6%`; the shape
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	931	doc	- [x] `P128d` the panel: preset, cadence, paths, Run (labelled with its projected time), Cancel,
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	976	doc	28i` `#rails-method`: Same as the Monte Carlo tab (default, labelled with the tab's current
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	1223	doc	anyway, labelled, or hide it?
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	1472	doc	labelled. `summarizeRun` did not exist in any form - `upda
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	2704	doc	labelled dominance.
S	labelled	labeled / labeling	.planning/retirement-optimizer/task_plan.md	3004	doc	control (Quick / Standard / Exhaustive) labelled with its measured estimate on this machine,
S	greyed	gray	.planning/retirement-optimizer/task_plan.md	1721	doc	nothing, which is the same failure shape as `P107e`'s greyed IRA Goal: a live-looking control
S	grey	gray	.planning/retirement-optimizer/task_plan.md	1722	doc	that cannot affect the result. Options are to grey it outside MC the way
S	greying	gray	.planning/retirement-optimizer/task_plan.md	1958	doc	1. **`P107e`'s greying is mostly RIGHT, not a wholesale stopgap.** `orde
S	greying	gray	.planning/retirement-optimizer/task_plan.md	1959	doc	aw, so no value of the target can change them and the field greying out is honest.
S	grey	gray	.planning/retirement-optimizer/task_plan.md	2045	doc	- [x] **P107e - grey out the IRA Goal for the strategies that ignore i
S	greys	gray	.planning/retirement-optimizer/task_plan.md	2047	doc	o the UI cannot drift from the engine. `toggleStrategyUI()` greys
S	greyed	gray	.planning/retirement-optimizer/task_plan.md	2053	doc	ed: all 7 strategies, the load path (`?str=ordered` arrives greyed with `ibg`
S	greying	gray	.planning/retirement-optimizer/task_plan.md	2056	doc	URPLUS draw, and `ordered`, `split` and `gk` take none - so greying the field for those
S	greyed	gray	.planning/retirement-optimizer/task_plan.md	2083	doc	the only one of the four greyed strategies that is greyed wrongly.
S	greyed	gray	.planning/retirement-optimizer/task_plan.md	2083	doc	the only one of the four greyed strategies that is greyed wrongly.
S	greying	gray	.planning/retirement-optimizer/task_plan.md	2090	doc	nothing to switch off, and `P107e`'s greying stays correct for them.
S	greyed	gray	.planning/retirement-optimizer/task_plan.md	2114	doc	is user-facing, so it carries the label, the greyed note and the ⓘ suggestion. `ibg` stays as
S	greying	gray	.planning/retirement-optimizer/task_plan.md	2119	doc	the optimizer will not draw below"*), and the `P107e` greying note (`:1013`). A changelog `<li>`
S	greyed	gray	.planning/retirement-optimizer/task_plan.md	2961	doc	` disables the whole stop-conversions row** (both controls, greyed), because
V	forwards	forward	.planning/retirement-optimizer/task_plan.md	129	doc	ddresses, so the Worker sends to the inbox the help address forwards to, never to the help address
V	backwards	backward	.planning/retirement-optimizer/task_plan.md	4447	doc	**P1 broke backwards and it is the finding.** Bootstrap leads the unde
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/task_plan.md	30	doc	duction add-back shipped under `P92a` and its box was never ticked. `P87d` and `P87c4` were the same defect twice: a
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/task_plan.md	122	doc	settings-and-errors tier, ticked by default. **Mine, in the approved plan:** Turns
I	ticking	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/task_plan.md	1036	doc	default; ticking auto-run solves at once. Cadence, paths and the t
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/task_plan.md	3588	doc	ngine" note still lists was removed when it shipped. Nobody ticked the box.
I	ticked	check / checked / unchecked (a box) - vet: chart "ticks" are fine	.planning/retirement-optimizer/task_plan.md	4165	doc	- [x] **P28jb - ALREADY IN THE ENGINE, box was never ticked.** `timingConvThreshold` research input
I	knock-on	ripple / downstream (effect)	.planning/retirement-optimizer/task_plan.md	4375	doc	plus the RMD knock-on) against a spending cost of `W·10g/12` in full pr
I	top up	add to / replenish / refill	.planning/retirement-optimizer/task_plan.md	4109	doc	arly so the Roth compounds. A year that converted $1,001 to top up a bracket
I	the lot	all of it / all of them (vet)	.planning/retirement-optimizer/task_plan.md	562	doc	the lot-selection limit the README already documents and
V	$3.7M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	247	doc	in lifetime conversions and $3.7M in ending Roth**, worth **1.3-4.6% of net worth**
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	479	doc	, and not only for the very rich.** Oregon's exemption is **$1M**
V	$2M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	480	doc	and Massachusetts' **$2M**, and **neither is indexed**, against a *nominal
V	$2M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	481	doc	years out. The plan bank routinely ends between $2M and $26M. The federal exemption is $15M per
V	$26M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	481	doc	years out. The plan bank routinely ends between $2M and $26M. The federal exemption is $15M per
V	$15M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	481	doc	utinely ends between $2M and $26M. The federal exemption is $15M per
V	$2M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	485	doc	about: crossing $2M taxes the ENTIRE estate, not the excess. It belon
V	$15M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	497	doc	- [ ] `P120a` Federal: $15M per person (OBBBA, permanent), portability betwee
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	806	doc	nage Safe Retirement Spending*, Kitces.com. Worked example: $1M portfolio, $6,800/month; cut to $6,500 at ~$800k,
V	$1.1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	806	doc	$6,800/month; cut to $6,500 at ~$800k, raise to $7,100 at ~$1.1M |
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1598	doc	**Run on the page defaults 2026-09-06** (Proportional +%, $1M IRA, $140k spend, conversions on,
V	$0.5M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1911	doc	the canonical household, sweeping `iraBaseGoal` over $0 / $0.5M / $1M / $2M / $4M and reading real
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1911	doc	nonical household, sweeping `iraBaseGoal` over $0 / $0.5M / $1M / $2M / $4M and reading real
V	$2M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1911	doc	l household, sweeping `iraBaseGoal` over $0 / $0.5M / $1M / $2M / $4M and reading real
V	$4M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1911	doc	ehold, sweeping `iraBaseGoal` over $0 / $0.5M / $1M / $2M / $4M and reading real
V	$4M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1914	doc	strategy | spread across the sweep | ending IRA, goal $0 -> $4M | verdict |
V	$4M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1917	doc	% (`bracket`) | $69k | $6,340k -> $6,894k | moves only at a $4M goal |
V	$4M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1918	doc	(`fixedpct`) | $23k | $6,042k -> $6,762k | moves only at a $4M goal |
V	$3.44M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1927	doc	$3.44M IRA growing past $6M a $1M goal is inert - the br
V	$6M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1927	doc	$3.44M IRA growing past $6M a $1M goal is inert - the bracket room binds inst
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1927	doc	$3.44M IRA growing past $6M a $1M goal is inert - the bracket room binds instead. I
V	$4M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1928	doc	clip at a $4M goal. `propwd`, `ordered` and `split` never refer
V	$4M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1933	doc	l to reduce TO, not an amount to obtain.** Raising it $0 -> $4M asks for LESS
V	$1.5M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	1937	doc	household that costs $1.5M of net worth, and that trade is the whole point o
V	$1.16M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	2198	doc	f the `P103b2` SPLIT field: one vector, not 33. Worth $140k-$1.16M on this
V	$2M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	2460	doc	n` found the endgame regime; the tail rule flips at roughly $2M of endgame assets |
V	$1.078M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	2469	doc	(defaults3x @6% b20, conversions); the old **+$1.078M** headline cell is now +$122k. Mix-dependent:
V	$1.078M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	2513	doc	and the +$1.078M headline cell is now +$122k. Three shipped fixes
V	$1.06M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	2575	doc	every family: mean +$243k (GK) to +$1.06M (Ordered) real after-tax; survival unchanged.**
V	$3M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	2993	doc	| $3M IRA, 32% heirs rate | 3,231 ms, 195 rows | 682 ms
V	$4M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	3075	doc	- **Teaching surface.** "IRMAA tier plan for a $4M IRA couple" is a better on-ramp than an empty
V	$2.28M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	3253	doc	ended score stays rejected**: conversion savings top out at $2.28M here while
V	$10M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	3254	doc	net wealth runs ~$10M, so a blend sorts by scale and "rank 40" would si
V	$2.8M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	3606	doc	on one $2.8M Fill Bracket 22% fixture. Harness `.test_harnesse
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	3762	doc	need per-state partial-SS-taxation thresholds; NJ needs a >$1M surtax bracket; VT needs a low-income exemption r
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	3852	doc	So a plan opened in late August with $1M in Cash at 4% books a full year of interest inste
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4088	doc	FAULT-FACING checkbox that P28 round 3 measured losing over $1M. **That is no longer the finding.**
V	$1M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4152	doc	engine. **The >$1M framing this phase opened with is gone: the conve
V	$5M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4564	doc	rized** optimization already on record in this file (PF11: "$5M+ IRAs cross the run budget
V	$2M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4566	doc	A/25000)+1`, measured exactly 17 / 81 / 201 sims at $400k / $2M / $5M.
V	$5M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4566	doc	0)+1`, measured exactly 17 / 81 / 201 sims at $400k / $2M / $5M.
V	$5M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4570	doc	nd an even grid steps straight over them. $100k coarse on a $5M IRA is a 50-point grid,
V	$3.3M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4587	doc	right answer on a $3.3M scenario (reported 25% against a true 5%)."
V	$1.3M	$xM / $xB	.planning/retirement-optimizer/task_plan.md	4816	doc	splaces a Brokerage draw", live from endgame year 0. Below ~$1.3M
